name,price,keyword,Brand Name,Flavor,Item Weight,Item Form,actual_weight_gm,price_per_kg,is_organic,is_sugar_free,is_gluten_free,is_vegan,is_keto,is_diet,is_zero,is_stevia,pack_size,weight_category,brand_in_name
juhayna,257.0,milk,juhayna,other,1 Kilograms,liquid,1000.0,257.0,0,0,0,0,0,0,0,0,1.0,large,1
almarai,49.0,milk,almarai,other,1 Kilograms,liquid,1000.0,49.0,0,0,0,0,0,0,0,0,1.0,large,1
juhayna,515.0,milk,juhayna,other,2 Kilograms,liquid,2000.0,257.5,0,0,0,0,0,0,0,0,1.0,xlarge,1
almarai,302.0,milk,almarai,coffee,1 Kilograms,liquid,1000.0,302.0,0,0,0,0,0,0,0,0,1.0,large,1
almarai,49.0,milk,almarai,unflavored,1 Kilograms,liquid,1000.0,49.0,0,0,0,0,0,0,0,0,1.0,large,1
almarai,294.0,milk,almarai,other,6 Kilograms,liquid,6000.0,49.0,0,0,0,0,0,0,0,0,1.0,bulk,1
lamar,49.0,milk,other,plain,1 Kilograms,liquid,1000.0,49.0,0,0,0,0,0,0,0,0,1.0,large,0
lamar,51.0,milk,other,other,1 Kilograms,liquid,1000.0,51.0,0,0,0,0,0,0,0,0,1.0,large,0
juhayna,72.0,milk,juhayna,other,1.5 Kilograms,liquid,1500.0,48.0,0,0,0,0,0,0,0,0,1.0,xlarge,1
the milkman,53.0,milk,other,unflavored,1 Kilograms,liquid,1000.0,53.0,0,0,0,0,0,0,0,0,1.0,large,0
juhayna,305.0,milk,juhayna,other,1 Kilograms,liquid,1000.0,305.0,0,0,0,0,0,0,0,0,1.0,large,1
lamar,10.0,milk,other,other,200 Grams,liquid,200.0,50.0,0,0,0,0,0,0,0,0,1.0,medium,0
latteria,400.0,milk,other,rm,1 Kilograms,powder,1000.0,400.0,0,0,0,0,0,0,0,0,1.0,large,0
vitamilk soy milk original 300ml - ready to drink vegan soy drink,220.0,milk,generic,nan,300 Grams,nan,300.0,733.3333333333333,0,0,0,1,0,0,0,0,1.0,medium,0
almarai,52.0,milk,almarai,plain,1 Kilograms,liquid,1000.0,52.0,0,0,0,0,0,0,0,0,1.0,large,1
lamar,51.0,milk,other,plain,1 Kilograms,liquid,1000.0,51.0,0,0,0,0,0,0,0,0,1.0,large,0
almarai,69.0,milk,almarai,strawberry,200 Grams,liquid,200.0,345.0,0,0,0,0,0,0,0,0,1.0,medium,1
