Epoch,Training_Loss,Validation_Loss,Training_MAE,Validation_MAE
1,58345.40625,62237.6484375,172.17161560058594,171.05589294433594
2,48772.13671875,43520.22265625,147.10073852539062,126.43777465820312
3,30670.8046875,30964.71484375,110.6406021118164,113.88058471679688
4,25286.83203125,28735.517578125,107.49510192871094,113.27891540527344
5,23635.458984375,26846.3671875,104.05423736572266,108.73580932617188
6,22324.537109375,24871.560546875,100.01020812988281,102.56507110595703
7,20679.76953125,22810.26953125,93.28662872314453,97.03105163574219
8,18893.55078125,20783.119140625,87.91168975830078,91.5215835571289
9,17477.6015625,19009.08203125,82.57804870605469,87.25406646728516
10,16092.1640625,17455.013671875,79.06317901611328,82.75494384765625
11,14800.7958984375,16127.935546875,75.98932647705078,79.50428009033203
12,13867.013671875,14945.943359375,73.60911560058594,75.9177474975586
13,13155.5693359375,13781.0771484375,71.49480438232422,73.16104888916016
14,12173.28515625,12716.744140625,68.3546142578125,70.00525665283203
15,11519.1220703125,11730.755859375,66.91600799560547,66.80419921875
16,10887.01953125,10755.29296875,65.09176635742188,63.7165412902832
17,10377.9599609375,10108.6806640625,63.485679626464844,61.33829116821289
18,9947.435546875,9417.158203125,61.616493225097656,58.93040084838867
19,9573.873046875,8958.583984375,60.699859619140625,57.71133804321289
20,9183.2802734375,8559.5390625,60.00005340576172,55.18587112426758
21,8890.615234375,8243.646484375,58.052940368652344,54.4215202331543
22,8666.3193359375,8024.74951171875,58.346824645996094,53.148738861083984
23,8576.607421875,7779.77197265625,56.517333984375,51.97658157348633
24,8250.310546875,7575.62841796875,56.781394958496094,50.8084831237793
25,8261.2197265625,7435.76123046875,55.58047103881836,50.234214782714844
26,8292.3828125,7341.85009765625,56.346927642822266,48.75086975097656
27,7873.22509765625,7176.2705078125,54.34181594848633,48.724727630615234
28,7932.85400390625,6990.83154296875,55.20917510986328,47.081520080566406
29,7762.58251953125,6936.38037109375,53.73124694824219,46.80136489868164
30,7752.76171875,6783.79443359375,54.23385238647461,46.650970458984375
31,7419.30078125,6697.35791015625,52.78818893432617,45.17869186401367
32,7633.75732421875,6606.22216796875,53.001014709472656,45.47563171386719
33,7372.16552734375,6488.91943359375,52.51797103881836,44.6097526550293
34,7147.10693359375,6341.15869140625,51.9985466003418,43.67529296875
35,7187.490234375,6316.26904296875,51.171669006347656,44.100528717041016
36,7024.9267578125,6189.72802734375,51.16611862182617,42.80335235595703
37,6959.43994140625,6123.64111328125,50.6657600402832,42.893646240234375
38,7056.80224609375,6112.66357421875,50.4712028503418,42.85985565185547
39,6893.498046875,6016.8095703125,50.03630065917969,42.47234344482422
40,6787.27783203125,5888.9775390625,50.282066345214844,41.82119369506836
41,6742.2294921875,5809.56201171875,50.159061431884766,41.53661346435547
42,6754.50341796875,5776.59716796875,50.499786376953125,41.21726608276367
43,6782.91064453125,5681.6728515625,49.59792709350586,40.94694137573242
44,6500.21875,5585.73046875,48.44987106323242,40.44015121459961
45,6457.64111328125,5551.86962890625,48.27940368652344,40.43807601928711
46,6430.419921875,5549.7109375,48.16298294067383,40.17149353027344
47,6405.4013671875,5489.30712890625,48.32886505126953,39.8486213684082
48,6567.54736328125,5352.84521484375,48.79867935180664,39.61385726928711
49,6316.3818359375,5286.677734375,48.572364807128906,38.991329193115234
50,6222.72705078125,5266.7353515625,47.95172882080078,38.80276870727539
